,0
0,1.5507373291513193
1,0.8664510211218959
2,0.7970349257406981
3,0.720780047385589
4,0.6556016867575438
5,0.5683151800995287
6,0.5397156697252522
7,0.46277208496694977
8,0.40417993457421014
9,0.377504099322402
10,0.35380178463199863
11,0.28745178813519684
12,0.24469413090011347
13,0.22161357687867206
14,0.21490583277266959
15,0.18448255664628485
16,0.12863176259333672
17,0.11449791539622389
18,0.10039951061101063
19,0.08902287993418134
20,0.07305361775924331
21,0.0694908392008232
22,0.05181378931940898
23,0.049077634456688946
24,0.039846843594442245
